ITEMID,DESCRIPTION,COMMODITYCODE,COST ,COSTUM
R4871,Pumpkin Seed Oil Powder - Kosher,Botanical,19.89,kg
R4872,Saw Palmetto Berry Extract - Kosher,BotExtract,68.5,kg
R4873,Organic Oregano Leaf Powder - Kosher,Botanical,10.58,kg
R4875,Echinacea Purpurea Root Powder - Kosher,Botanical,21.12,kg
R4876,Organic Carnauba Wax - Kosher,Excipient,34.39,kg
R4877,Bee Propolis 2X - Kosher,Nutrition,97,kg
R4878,Echinacea Purpurea 5:1 Extract,BotExtract,22,Kg
R4880,Bioperine  (Black Pepper Extract NLT 95% Piperine) - Kosher,BotExtract,510,kg
R4881,Organic Ginger Root Powder - Kosher,Botanical,22.8,kg
R4885,Instant Black Tea CF1HD,Flavor,13.92,kg
R4886,Natural Apple Spice Type Flavor 06110155,Flavor,72.311,kg
R4887,Natural Chai Tea Type Flavor 86012164,Flavor,65.92,kg
R4889,Xylitol,Excipient,7.85,kg
R4890,Whey Protein Isolate Instantized 9010 (Customer Specified),Protein,18.4,kg
R4891,Cocoa Powder 10-12% Sienna (processed with alkali) (Customer Specified),Excipient,5.73,kg
R4892,Apple Pectin APA186 (Customer Specified),Fiber,29.95,kg
R4893,Natural Bitter Blocker #22076 (Customer Specified),Flavor,20.39,kg
R4894,Natural Chocolate Flavor WONF #ZE11555 (Customer Specified),Flavor,58.45,kg
R4895,Natural Cranberry Flavor,Flavor,64.463,kg
R4896,Natural Cranberry Apple Spice Flavor,Flavor,29.189,kg
R4897,Lactobacillus rhamnosus 100B CFU/g (Customer Specified),Probiotic,164,kg
R4900,Natural Chai Flavor,Flavor,46.782,kg
R4904,N&A Birthday Cake Flavor,Flavor,78.59,kg
R4906,N&A Birthday Cake Flavor,Flavor,30.82,kg
R4908,Flavorettes Birthday Cake Blend Sprinkles,Flavor,8.23,kg
R4909,Natural Black Tea Flavor,Flavor,50.15,kg
R4911,Natural Watermelon Flavor (Customer Specified),Flavor,35.825,kg
R4913,N&A Yumberry Flavor (Customer Specified),Flavor,29.542,kg
R4917,Natural Strawberry Cream Type Flavor #3100048 (Customer Exclusive),Flavor,16.72,kg
R4918,Natural Creamy Dutch Chocolate Flavor #3100083 - Halal - FOOD ONLY (Customer Exclusive),Flavor,13.9,kg
R4920,Natural Fruit Type Flavor #3100045 (Customer Exclusive),Flavor,30.96,kg
R4921,Natural Yumberry Flavor (Customer Specified),Flavor,45.08,kg
R4922,N&A Cowberry Flavor (Customer Specified),Flavor,43.696,kg
R4923,Natural Goji Flavor (Customer Specified),Flavor,37.5,kg
R4929,Novatol  Non-GMO 350 SD Vitamin E 350 IU/g (Customer Specified),Vitamin,65,kg
R4930,Phytase (from Aspergillus niger) 120 FTU/g,Enzyme,14,kg
R4931,Maitake (Grifola frondosa) Mushroom Mycelium biomass (Customer Exclusive),Fungi,50,kg
R4932,Reishi Mushroom Powder (Ganoderma lucidum) (Customer Exclusive),Fungi,43.7,kg
R4933,Poria Cocos (Wolfporia extensa) Mycelium (Customer Exclusive),Botanical,38,kg
R4934,Dried Yeast (Saccharomyces cerevisiae) Beta Glucan (Customer Exclusive),Botanical,320,kg
R4935,Natural Dragon Fruit Flavor (Customer Specified),Flavor,36.27,kg
R4938,Papain 2000 USP units/mg FOOD ONLY (Customer Specified),Enzyme,8.37,kg
R4939,Truvia  Stevia Leaf Extract RA95 (Customer Specified),BotExtract,159,kg
R4941,Ferrous Sulfate (Microencapsulated) 18% Fe,Mineral,17.703,kg
R4942,SOLUGEL  5000 BD Bovine Collagen Peptides (Customer Specified),Protein,9.25,kg
R4943,Natural Chocolate Flavor WONF MET0004552 (Customer Specified),Flavor,15.65,kg
R4944,Organic Stevia Reb A 99% (Customer Specified),BotExtract,170,kg
R4946,Natural Chocolate Flavor WONF 17.885OC (Customer Specified),Flavor,54.56,kg
R4947,Natural Masking Agent # 29.450 (Customer Specified),Flavor,36.82,kg
R4948,Fulvic Trace  Mineral Powder (Customer Specified),Mineral,295,kg
R495,"Potassium Chloride, 52% K, 48% Cl Kosher",Mineral,3.64,kg
R4953,Natural Creamy French Vanilla Flavor (Customer Exclusive),Food,16.71,kg
R4954,Cocoa Powder 10-12% AMBER (10-12% NE),BotExtract,6.28,kg
R4955,Magnesium (Bis)Glycinate 12% Mg (Customer Specified),Mineral,18.28,kg
R4956,Cocoa,BotExtract,5.49,kg
R4957,Natural French Vanilla Flavor,Flavor,36.81,kg
R4959,Insta*Potato  Maltodextrin - Low Water Activity (Customer Specified),Excipient,21.28,kg
R4961,Olive Leaf P.E. 20% Oleuropein (Customer Specified),BotExtract,20,kg
R4965,"Oat Straw Extract 10:1 Extract (Customer Exclusive), WADA",BotExtract,13.5,kg
R4967,Whey Protein Concentrate Instant 80% Avonlac 282 SFL (Customer Exclusive),Protein,6.94,kg
R4968,Sunflower Oil Powder non-GMO - Kosher,Excipient,21.52,kg
R4969,CaroCare  Natural Beta Carotene 20% (Customer Specified),Vitamin,478.67,kg
R4971,Organic Flavor Chocolate Nat WONF 1808B(O) PDR (Customer Specified),Flavor,34.39,kg
R4972,Organic Flavor Chocolate Nat WONF 1810B(O) PDR (Customer Specified),Flavor,33.29,kg
R4973,Niacin USP Granular NLT 98% as-is,Vitamin,11.5,kg
R498,Pregnenolone 98%,Hormone,290,kg
R4980,Boswellia Serrata Extract (65% boswellic acids) Granulation,BotExtract,28,kg
R5004,Streptococcus Thermophilus St-21 400B,Probiotic,665,kg
R5005,Lactococcus Lactis Ll-23 300B,Probiotic,466,kg
R5006,Splenda   Sucralose - Micronized,Excipient,40,kg
R5007,"Peach Fruit Powder, FOOD ONLY (Customer Exclusive)",BotExtract,36.34,kg
R5008,"Sunflower Oil (KerryKreem) 50S NGM, FOOD ONLY (Customer Exclusive)",Fat/Facid,6.94,kg
R5009,"Organic Alfalfa Juice Powder, FOOD ONLY (Customer Exclusive)",BotExtract,25.65,kg
R5010,Kola (Cola acuminata) Nut Extract 5% Caffeine - Halal (Customer Exclusive),BotExtract,17.5,kg
R5011,Black Pepper (Piper nigrum) Extract 95% Piperine - Halal (Customer Exclusive),BotExtract,200,kg
R5013,Apple Cider Vinegar Powder - Halal (Customer Exclusive),BotExtract,15.256,kg
R5014,Potassium Bicarbonate Granular 38.5% K (Customer Specified),Mineral,4.08,kg
R5015,Sodium Bicarbonate USP Grade #1 Powder 27.1% Na (Customer Specified),Mineral,3.53,kg
R5017,Chamomile Petal PE 4:1 Extract,BotExtract,44.43,kg
R5018,Hops (strobile) 4:1 Extract,BotExtract,17,kg
R5019,Valerian Root 4:1 Extract,BotExtract,28,kg
R5021,Lactobacillus rhamnosus (GG) 350 Billion CFU/g,Probiotic,599,kg
R5022,Bifidobacterium longum 100 Billion CFU/g  BL-05 (Customer Specified),Probiotic,318,kg
R5024,Insta Rice Trin (Rice Maltodextrin) Low Water Activity,Excipient,8.55,kg
R5027,Hawthorne (Crataegus laevigata) Berry 4:1 Extract (Customer Specified),BotExtract,19,kg
R5028,Natural Maple Type Flavor #54.043GMOF (Customer Specified),Flavor,23.04,kg
R5029,Natural Vanilla Type Flavor #93.7123SD (Customer Specified),Flavor,22.71,kg
R503,"Psyllium Husk Powder, NLT 95%, Plantago ovata",Fiber,9.2,kg
R5030,Lactobacillus acidophilus DDS-1 200 billion CFU/g  (Customer Specified),Probiotic,960,kg
R5032,"Magnesium Glycinate Glutamine Chelate, 8.5% Magnesium (Customer Specified)",Mineral,71.51,kg
R5033,L-Glutamine FCC 98% Kosher (Customer Exclusive),AminoAcid,19,kg
R5034,"Enzyme Blend 3211TRA2252 (Amylase, Peptizyme SP, Cellulase, Hemicellulase, Protease I, Lipase, Lactase, Peptidase,  Protease II, Invertase, Diastase) (Customer Exclusive)",Enzyme,86.65,kg
R5035,Molasses (Customer Specified),BotExtract,2.98,kg
R5038,Natural Stevia Reb A 80 - FAPY049 (Customer Exclusive),Excipient,126.54,kg
R5039,Paprika Powder Color FAMC152 (Customer Exclusive),Color,48.5,kg
R5041,Purple Grape Mega Powder Color FAMY772 (Customer Exclusive),Color,40.48,kg
R5044,Inositol Niacinate (Hexanicotinate) 77% Nicotinic Acid (Customer Specified),Vitamin,52,kg
R5045,Taurine 98% - JP15 (Customer Specified),AminoAcid,5.33,kg
R5047,Organic Erythritol (Customer Specified),Excipient,4.85,kg
R5049,Natural Masking Flavor #FX-1531 (Customer Specified),Flavor,25.9,kg
R505,Pumpkin Seed Powder,Botanical,20.88,kg
R5050,Natural Magnifique for Stevia (Sweetness Magnifier) 61004292 (Customer Specified),Flavor,23.79,kg
R5051,Natural Citrus Flavor Spray Dry (Customer Specified),Flavor,27.56,kg
R5053,Turmeric Root PE 95% Curcumins Granular,BotExtract,74,kg
R5054,Turmeric PE 95% Curcuminoids (rhizome),BotExtract,87.75,kg
R5054-FL,Turmeric PE 95% Curcuminoids (rhizome),BotExtract,87.75,kg
R5055,Organic Lion's Mane,Fungi,42,kg
R5056,"Kelp (Laminaria japonica) Powder, non-irradiated",Botanical,12,kg
R5057,Litesse  Ultra  Powder 8104712 (Customer Exclusive),Nutrition,5.35,kg
R506,"Pygeum Bark Powder, Pygeum africanum",Botanical,38,kg
R5064,BCAA Powder -Instantized 2:1:1 with Sunflower Lecithin,AminoAcid,13.9,kg
R5065,Exberry  Shade Cascade Red Powder (Customer Exclusive),Color,35.19,kg
R5066,Natural Lime Flavor (Customer Exclusive),Flavor,57.54,kg
R5067,Natural Lemon Flavor Powder WONF (Customer Exclusive),Flavor,58.64,kg
R5068,Natural Blood Orange Type Flavor WONF (Customer Exclusive),Flavor,28.8,kg
R5069,Clean Cream Sunflower (Customer Specified),BotExtract,13.55,kg
R507,Pyridoxial-5-Phosphate (Customer Specified),Vitamin,148,kg
R5071,Turmeric Extract Powder (95% Curcuminoids) (Customer Specified),BotExtract,139,kg
R5073,"Amgran  Calcium Carbonate Granular DC, 35% Ca (Customer Specified)",Mineral,3.16,kg
R5074,Eleuthero PE 4:1 (Customer Exclusive),BotExtract,12.45,kg
R5075,Ginger Root Extract 4:1 (Zingiber officinale) (Customer Exclusive) - Halal,BotExtract,26.46,kg
R5078,Beet Color Powder (Customer Exclusive),Color,50.1,kg
R5079,Natural Raspberry Type Flavor Powder (Customer Exclusive),Flavor,31.49,kg
R5080,Enzyme Stevia Leaf Extract 80% (Customer Exclusive),BotExtract,70,kg
R5081,Natural Dragonfruit Type Flavor Powder (Customer Exclusive),Flavor,38.84,kg
R5082,Natural Grape Type Flavor Powder (Customer Exclusive),Flavor,28.54,kg
R5083,Natural Huckleberry Type Flavor Powder (Customer Exclusive),Flavor,32.84,kg
R5084,Natural Sour Cherry WONF Flavor (Customer Exclusive),Flavor,52.69,kg
R5085,"L-Theanine 98%, Kosher",AminoAcid,29,kg
R5086,"L-Cysteine HCl Monohydrate, 66.6% Cysteine, 86.7% Cysteine HCl (Customer Specified)",AminoAcid,12.99,kg
R5087,Polydextrose Powder,Nutrition,2.2,kg
R5090,Pumpkin Powder,Botanical,8.82,kg
R5091,Lactobacillus rhamnosus (HN001 ) 450B,Probiotic,1284,kg
R5092,Natural Orange Flavor WONF (Blood type) (Customer Exclusive),Flavor,30.2,kg
R5093,Marigold Extract,BotExtract,19.5,kg
R5094,Natural Full SpectrumTocopherol and Tocotrienol Complex 20%,Vitamin,360,kg
R5097,Dong Quai (Angelica sinensis) Root Extract (Customer Specified),BotExtract,50,kg
R5098,Natural Triple Berry Flavor (Customer Specified),Flavor,43.98,kg
R5099,Red Beet Juice Granule (Customer Specified),BotExtract,14.5,kg
R510,"Quercetin 83%(as is) 95%(dried), Kosher",BotExtract,56,kg
R5100,L-Leucine (Customer Specified),AminoAcid,14,kg
R5101,l-Glutamine (Customer Specified),AminoAcid,9.59,kg
R5102,L-Serine (Customer Specified),AminoAcid,32,kg
R5103,"Tricalcium Phosphate, Powder - NF Grade, FCC Grade (Customer Specified)",Mineral,7.05,kg
R5105,Xylitol (Xylitab  200 ) Crystalline Grnulate,Excipient,19.88,kg
R5106,Perkasil  SM 660 (U) Precipitated Silica (Customer Specified),Excipient,11.11,kg
R5107,Riboflavin 95% Granulation w/HPMC (Customer Specified),Vitamin,59,kg
R5108,Watercress Leaf Powder (Customer Specified),Botanical,19.5,kg
R5110,Kamut Grass Powder (Customer Specified),Botanical,20.8,kg
R5111,Raspberry Lemonade Flavor WONF Organic Powder (Customer Specified),Flavor,23.48,kg
R5112,Creatine Monohydrate 80 Mesh,AminoAcid,5.1,kg
R5113,Rose Hips 4:1 Extract (Rosa Canina) (fruit),BotExtract,18,kg
R5115,Eyebright Herb Powder (Euphrasia ssp),Botanical,13,kg
R5116,Super Oxide Dismutase (bovine),Enzyme,111,kg
R5117,Digestblend VS#2587,Enzyme,137.61,kg
R5118,Maltodextrin (Maltrin QD  M580),Excipient,4.7,kg
R5119,Tribulus Terrestris Fruit Extract (Std. to 20% Saponins),BotExtract,11,kg
R5120,UC-ll  Standardized Cartilage (25% Collagen),Protein,3061.8,kg
R5121,Chasteberry (vitex angus castus L) Extract ( 5% Vitexin),BotExtract,34,kg
R5122,Acerola Extract 4:1 (Malphighia glabra),BotExtract,23,kg
R5123,Black Pepper (piper nigrum) 4:1 Extract,BotExtract,36,kg
R5124,Rose  Hips 4:1 Extract (Rosa Centifolia),BotExtract,12,kg
R5126,Vitamin D2 (Ergocalciferol) (NLT 850IU/mg),Vitamin,344,kg
R5127,"Carnauba Wax #1  Powder, NF",Excipient,21.89,kg
R5132,Sterotex NF (Hydrogenated cottonseed oil),Excipient,13.12,kg
R5133,Lycopene 5% DC/AF,Nutrition,95,kg
R5136,DriZoom  Natural and Artificial Fruit Punch Type Flavor (Customer Specified),Flavor,35.37,kg
R5137,Maltrin  M180 Maltodextrin (Customer Specified),Excipient,1.81,kg
R5138,Hesperidin 45% Citrus Bioflavonoid P.E. (Customer Specified),Botanical,12.5,kg
R5139,Ziboxan  F80 Xanthan Gum Food Grade,Excipient,16,kg
R5140,DriZoom  Natural and Artificial Fruit Punch Type Flavor (Customer Specified),Flavor,45.65,kg
R5141,"Fonatech  Orange Flavor, NAT WONF (Customer Exclusive)",Flavor,44.05,kg
R5142,Magnesium Lysinate Glycinate Chelate #03500 (Customer Specified),Mineral,22.83,kg
R5143,Carbowax   Sentry   Polyethylene Glycol 8000 NF,Excipient,15.04,kg
R5144,Propionyl L-Carnitine HCl 98%  (Customer Specified),AminoAcid,92,kg
R5145,Organic Ginger Powder Extract,BotExtract,28,kg
R5147,Green Coffee Bean Extract 50% Chlorogenic Acids (Customer Specified),BotExtract,35,kg
R5159,AHCC-Standard-FG (Mycelium) Extract (Customer Specified),Fungi,825,kg
R5161,"Cordy-Gen   (Bionectria ochroleuca, isolated from cordyceps sinensis) mycelial biomas (Customer Specified)",Fungi,75,kg
R5163,Digest Extra Blend #2571 (Customer Specified),Enzyme,143.13,kg
R5164,Bilberry Extract (Vaccinium Myrtillus) (Fruit)  (Standardized to 36% Anthocyanins)(Customer Specified),BotExtract,627,kg
R5165,Greenselect   Green Tea Dry Decaffeinated Extract Polyphenols (Customer Specified),BotExtract,217,kg
R5166,MegaNatural  BP Grape Seed Extract (vitis vinifera) 90% gallic acid equivalents (Customer Specified),BotExtract,319,kg
R5167,Nutrasol 385 Micellar Casein 79.9% (Food Only) (Customer Specified),Protein,16.53,kg
R5168,Butter Buds Dried Cream Extract 38164 (Customer Specified),Flavor,11.133,kg
R5169,Natural & Artificial Vanilla Cream Type Flavor ZE06298 (Customer Specified),Flavor,42.45,kg
R5170,IdaPro Micellar Casein (Customer Specified),Protein,10.03,kg
R5172,Small Chocolate Cookie Crumbs  - (Customer Specified),Flavor,3.549,kg
R5175,Natural Raspberry Flavor WONF SD (Customer Specified),Flavor,15.01,kg
R5176,Red Beet P 04  Powder 462004 (Customer Specified),Color,56.55,kg
R5178,L-Tryptophan Granular 20 Mesh 98.5% (Customer Specified),AminoAcid,19,kg
R5179,Opadry II Code 57U180000 White (Customer Specified),Coating,31.64,kg
R5180,Natural Black Cherry Flavor W.O.N.F. 320318 (Customer Specified),Flavor,20.72,kg
R5181,Mannitol Powder (Customer Specified),Excipient,15.12,kg
R5183,Amylase (Aspergillus oryzae) 5000 SKB/g (Customer Specified),Enzyme,12.1,kg
R5184,"Cellulase (Trichoderma reesei) ( 20,000 CU/g) (Customer Specified)",Enzyme,27.83,kg
R5185,Prosolve SMCC 50 (Customer Specified),Excipient,9.14,kg
R5186,"Fungal Protease (Aspergillus oryzae) 5,000 HUT/g (Customer Specified)",Enzyme,6,kg
R5189,Natural Vanilla Flavor 327198 (Customer Specified),Flavor,21.164,kg
R5191,"Chaste Tree Berry PE (vitex agnus-castus) (std. to 0.6% Aucubin, 0.5% Agnuside) (Customer Specified)",BotExtract,69.35,kg
R5195,Quercetin Dihydrate Powder (Customer Exclusive),BotExtract,56,kg
R5198,Natural Espresso Type Flavor SD 10MS804740 (Customer Specified),Flavor,46.826,kg
R5201,Horse Chestnut Extract (aesculus hippocastanum) (Customer Specified),BotExtract,52.5,kg
R5203,Pygeum Extract (pygeum africanum) (bark) (std. to 2.5% sterols) (Customer Specified),BotExtract,198,kg
R5205,Stinging Nettle Root (urtica dioica) Powder,Botanical,12.06,kg
R5212,Golden Granulated  Organic Powdered Raw Cane Sugar (Customer Specified),Nutrition,2.73,kg
R5215,Buchu Leaf PE (Agathosma Betulina),BotExtract,60,kg
R5218,Gravel root (Eupatorium purpureum) Powder (Customer Specified),Botanical,9.57,kg
R5221,Psyllium Husk (plantago ovata) Powder 85%,Fiber,8.35,kg
R5222,Guarana Extract (Paullinia cupana) (seed)(std. to 22% caffeine) Granular,BotExtract,16.96,kg
R5224,Natural and Artificial Chocolate Flavor ZE06250 (Customer Specified),Flavor,55.58,kg
R5226,Enzyme Blend 3208AZN3832 (Customer Specified),Enzyme,118.75,kg
R5231,"Lipase 20,000 FIP/g (Rhizopus Oryzae) (Customer Specified)",Enzyme,208.09,kg
R5232,Natural and Artificial Pineapple Flavor ZE06968 (Customer Specified),Flavor,40.91,kg
R5233,Cream Powder BDF0241,Fat/Facid,11.376,kg
R5234,PretiX  95P Xylooligosacchardie P7095 (Customer Exclusive),Excipient,59.03,kg
R5235,Natural and Artificial Watermelon Flavor ZE04227  (Customer Specified),Flavor,36.45,kg
R5236,Natural and Artificial Strawberry Lemonade Flavor ZE09654 (Customer Specified),Flavor,80.98,kg
R5243,Richmix 5025 IP MCT Oil Blend (Customer Exclusive),Fat/Facid,15.32,kg
R5244,Blood Orange Fruit (Citrus Sinensis) (Customer Exclusive),Botanical,75.7,kg
R5245,DriZoom Natural Lemon Flavor WONF ZE04988,Flavor,77.45,kg
R5248,Natural Bitter Blocker Flavor 22076 (Customer Specified),Flavor,20.06,kg
R5252,Sustamine (L-Alanyl L-Glutamine) (Customer Specified),AminoAcid,136.5,kg
R5256,Cranberry Extract 10:1 (Vaccinium macrocarpon) (Customer Specified),BotExtract,32,kg
R5257,Schisandra Extract  (Schisandra chinensis) (fruit & Seeds) (std. to 9% schisandrins) (Customer Specified),BotExtract,75,kg
R5258,Calcium Aspartate (Ca 20%) (Customer Specified),Mineral,8.15,kg
R5262,Calcium Lactate Gluconate 13 (Customer Specified),Mineral,6.5,kg
R5263,Natural Coconut Type Flavor ZE04977 (Customer Specified),Flavor,63.25,kg
R5268,Natural & Artificial Vanilla Ice Cream Flavor ZE02571 (Customer Specified),Flavor,48.61,kg
R5269,Natural & Artificial Chocolate Flavor ZE00556 (Customer Specified),Flavor,47.86,kg
R5270,"Lactase 10,000 ALU/g (Customer Specified)",Enzyme,50,kg
R5271,"Fungal Protease 10,000 HUT/g (Customer Specified)",Enzyme,19,kg
R5273,Kudzu Root Extract (Pueraria lobata) (root) std to 40% Isoflavones (Customer Specified),BotExtract,16,kg
R5274,Nutricran Cranberry PE (30% Organic Acids) (Customer Specified),BotExtract,33,kg
R5276,BioCore  Optimum Enzyme Blend (Customer Specified),Enzyme,150,kg
R528,Riboflavin 5- Phosphate Sodium USP 67.5% (Customer Specified),Vitamin,165,kg
R5280,Opadry II Complete Film Coating System 57U93438 Orange (Customer Specified),Coating,36.14,kg
R5282,Opadry  II  57U93503 Orange (Customer Specified),Coating,64.07,kg
R5283,Biocell Collagen Powder Grade (Customer Specified),Nutrition,131.5,kg
R5287,ZMA-2000E (Powder) (Customer Specified),Mineral,62.64,kg
R5288,SynnovoTM Instantized BCAA Powder (2:1:1) (Customer Specified),AminoAcid,18.5,kg
R5289,Instant L-Leucine (Customer Specified),AminoAcid,14.36,kg
R5293,Testofen  Fenugreek Extract (Trigonella foenum-graecum) (seed) (50% Fenuside ) (Customer Specified),BotExtract,325,kg
R5294,Opadry  II Complete Film Coating System 57U99062 Blue (Customer Specified),Coating,27.27,kg
R5295,N-Methyl-L-Tyramine Hydrochloride (Customer Specified),AminoAcid,288,kg
R5296,Natural and Artificial Raspberry Flavor 316757 (Customer Specified),Flavor,7.16,kg
R5297,Natural and Artificial Blue Raspberry Flavor 315045 (Customer Specified),Flavor,9.259,kg
R5298,Natural and Artificial Tangerine Flavor 1574A PDR (Customer Specified),Flavor,31.52,kg
R5300,Natural & Artificial Grape Flavor 707822 (Customer Specified),Flavor,55.058,kg
R5301,Natural & Artificial Blackberry Flavor 314258 (Customer Specified),Flavor,8.71,kg
R5302,Di-Creatine Malate 63% Creatine (Customer Specified),AminoAcid,7.85,kg
R5303,Creatine AKG Alpha Ketoglutarate (1:1) 45.3% Creatine (Customer Specified),AminoAcid,50,kg
R5304,Hydromax  Glycerol Powder (Customer Specified),Nutrition,21.05,kg
R5306,Agmatine Sulfate (Customer Specified),Mineral,43,kg
R5309,L-Glutamine Peptide (Hydrolyzed Wheat Peptide) (Customer Specified),AminoAcid,34,kg
R531,Rose Hips Fruit - Kosher,Botanical,8.95,kg
R5310,L-Glutamine Alpha Ketoglutarate 2:1 64.5% L-Glutamine (Customer Specified),AminoAcid,25,kg
R5312,Potassium Glycerophosphate POT1261010 (Customer Specified),Mineral,18.7,kg
R5313,Glucuronolactone 98.5% (Customer Specified),Nutrition,22.5,kg
R5315,Natural and Artificial Bitter Masker Flavor 6667A (Customer Specified),Flavor,30.87,kg
R5316,Natural and Artificial Pineapple Mango Flavor ZE12077 (Customer Specified),Flavor,42.76,kg
R5317,Nutrafinish  Coating 148U175008 Grey (Customer Specified),Coating,64.7,kg
R5318,Creatine Ethyl Ester HCl (Customer Specified),AminoAcid,10.5,kg
R5322,Tri Calcium Citrate 23.5% HD PWD 1020536 (Customer Specified),Mineral,7.5,kg
R5324,Citrus Bioflavonoids Complex 50%,BotExtract,18,kg
R5327,Peptiplus  SM Bovine Collagen Peptides,Protein,11.4,kg
R5328,Natural and Artificial Fruit Punch Flavor 718110 (Customer Specified),Flavor,44.616,kg
R5329,FD&C Yellow #5 1P4400 (Customer Specified),Color,27.2,kg
R533,Rosemary Leaf Powder,Botanical,6.5,kg
R5332,Natural Masking Flavor ZE10234 (Customer Specified),Flavor,54.62,kg
R5333,Natural and Artifical  Strawberry Lemonade Flavor 5144B PDR (Customer Specified),Flavor,37.04,kg
R5335,Natural and Artificial Rainbow Candy Flavor ZE14190 (Customer Specified),Flavor,33.69,kg
R5336,Natural and Artificial Vanilla Cake Flavor ZE07177 (Customer Specified),Flavor,42.09,kg
R5337,Sunfiber  AG (Partially Hydrolyzed Guar Gum) (Customer Specified),Fiber,15.75,kg
R5339,Natural and Artificial Peach Passionfruit Flavor 68015155 (Customer Specified),Flavor,52.58,kg
R5341,"ModCarb  N841 (Organic Oat Bran, Organic Amaranth, Organic Quinoa, Organic Buckwheat, Organic Millet, Organic Chia)(Customer Specified)",Excipient,13,kg
R5342,MCT Smart Powder (Medium chain triglycride (MCT) oil AG4400 (Customer Specified),Fat/Facid,17.55,kg
R5344,Pea Starch (as Carb10 ) (Customer Specified),Excipient,5,kg
R5346,Natural and Artificial Strawberry Flavor ZE04443 (Customer Specified),Flavor,43.29,kg
R5347,Natural and Artificial Lemonade Flavor ZE04549 (Customer Specified),Flavor,39.9,kg
R5348,Opadry II Complete Film Coating System 57U94281 Pink (Customer Specified),Coating,26.48,kg
R5350,Naticol  HPMG- Premium Fish Collagen,Protein,25.75,kg
R5352,Cayenne Fruit Extract,BotExtract,28,kg
R5353,Waxy Maize (Corn Starch Amylopectin) #23270,Excipient,2.49,kg
R5354,Hydrolyzed Egg White Type EP-1 (#400) (Customer Specified),Protein,26.46,kg
R5355,Artificial Vanilla Cream Flavor WK08 #15858 (Customer Specified),Flavor,14.55,kg
R536,Rutin NF NLT 95% (Kosher),BotExtract,34,kg
R5360,Natural and Artificial Watermelon Flavor ZE06473 (Customer Specified),Flavor,34.71,kg
R5361,Natural and Artificial Fruit Punch Flavor ZE06441 (Customer Specified),Flavor,43.28,kg
R5363,Natural and Artificial Coconut Flavor 786862 (Customer Specified),Flavor,10.69,kg
R5364,Natural and Artificial Chocolate Fudge Flavor 785323,Flavor,16.53,kg
R5365,Natural and Artificial Vanilla Flavor WG87 #19619,Flavor,23.81,kg
R5366,Natural and Artificial Fruit Punch Flavor ZE07017 (Customer Specified),Flavor,41.17,kg
R5367,Natural and Artificial Creamy Chocolate Flavor 785322,Flavor,24.25,kg
R5370,Velositol   Amylopectin Chromium Complex FOOD ONLY,Nutrition,22,kg
R5372,Partially Hydrolyzed Guar Gum Sunfiber  ST,Fiber,7.9,kg
R5378,Accelerate  Croscarmellose Sodium (Customer Exclusive),Excipient,9.75,kg
R5379,L-Ornithine Monohydrochloride (Customer Exclusive),AminoAcid,20.5,kg
R5385,REMPRO 8000 SF Instant Egg White Protein - FOOD ONLY (Customer Exclusive),Protein,46.518,kg
R5388,Chondroitin Sulfate Sodium Granular (Bovine),Nutrition,47,kg
R5389,Natural Dulce De Leche Flavor 3226354381.00 (FOOD ONLY) (Customer Exclusive),Flavor,33.5,kg
R5390,Natural Coffee Flavor 3251220931.00 (FOOD ONLY) (Customer Exclusive),Flavor,22.95,kg
R5391,Natural Cooked Milk Flavor EN92 #33242 (FOOD ONLY) (Customer Exclusive),Flavor,45.19,kg
R5405,Malted Milk Powder,Excipient,1.7,kg
R5406,Riboflavin 98% USP PWD (Customer Exclusive),Vitamin,53,kg
R5407,Natural Coffee Flavor MET0005238 - FOOD ONLY (Customer Exclusive),Flavor,42.3,kg
R5408,Instant Coffee S/D Columbia #9695000341 - FOOD ONLY (Customer Exclusive),Flavor,33.1,kg
R5409,Ginkgo Leaf PE Flavonol Glycosides 24%/Terpene 6% HPLC,BotExtract,74,kg
R5410,Raspberry Ketones 99% (Customer Specified),Nutrition,32,kg
R5412,Hyaluronic Acid Sodium Hyaluronate (Customer Exclusive),Nutrition,155,kg
R5414,Fructooligosaccharides (Customer Exclusive) FOS95,Fiber,6.88,kg
R5415, 5-Methyltetrahydrofolate Calcium,Vitamin,2150,kg
R5416,Brown Seaweed Extract 40% Polysaccharides (Customer Exclusive),BotExtract,63,kg
R5417,Boron Citrate 5%,Mineral,17.8,kg
R5418,Nutrafinish Coating 148U110002 Green,Coating,68.81,kg
R5419,"Iron - Enriched Koji (Customer Specified) Kosher, Halal",Mineral,130,kg
R5423,Green Tea Extract 98%,BotExtract,25,kg
R543,Saw Palmetto Berry Powder,Botanical,17.5,kg
R5430,Natural and Artificial Watermelon Flavor ZE07105 (Customer Specified),Flavor,54.21,kg
R544,Saw Palmetto Berry Ext 25% fatty acids,BotExtract,83,kg
R545,Schisandra Berry Powder,Botanical,24.5,kg
R5457,Fiesta Pink Powder Color 51420002,Color,11.43,kg
R5458,Natural and Artificial Red Supernova Candy Flavor 82036185,Flavor,39.02,kg
R5459,Natural Pineapple Sherbert Flavor 10MS812413,Flavor,63.801,kg
R5460,Natural and Artificial Sour Blue Raspberry Flavor 10LS810200,Flavor,12.79,kg
