ITEMID,DESCRIPTION,COMMODITYCODE
R4426,Silibinol  Pterocarpus marsupium (Customer Specified),BotExtract
R4427,Organic Goji Juice Powder (Customer Specified),BotExtract
R4428,"yc-O Beta 20% VBAF, Blakeslea trispora, Vegetarian, non-GMO, Kosher",Vitamin
R4429,Taurine 99% (Customer Specified),AminoAcid
R4430,Juice Plus Omega Blend Plant Licap,Capsule
R4431,"Vaccinium Angustifolium, Wild Blueberry Fruit, (Customer Specified)",Botanical
R4432,"Polygonum multiflorum, 5:1",BotExtract
R4433,Lalmin Fe10,Mineral
R4434,"Arthrospira platensis, 20% Phycocyanin",Botanical
R4435,Opadry Clear Coating (CS),Coating
R4436,Caramel Color Powder (Customer Specified),Color
R4437,"Cordyceps Sinensis, 5:1",Fungi
R4438,Pseudostellaria Heterophylla Root Ext. 5:1,Botanical
R4439,Rhodiola Rosea Standardized to 5% Rosavins,BotExtract
R4440,Gynostemma Pentaphyllum Leaf Extract (Customer Exclusive),BotExtract
R4441,"Ganoderma lucidum, 5:1",Fungi
R4442,Ginger Root Extract,BotExtract
R4443,Dichrostachys glomerata Fruit Extract 10% Polyphenols (Customer Specified),BotExtract
R4444,Withania Somnifera (Customer Specified),BotExtract
R4445,Organic Barley Grass Juice Powder,BotExtract
R4446,Organic Alfalfa Grass Juice,BotExtract
R4447,Organic Oat Grass Juice (Customer Exclusive),BotExtract
R4448,Organic Wheat Grass Juice,BotExtract
R4449,Organic Cinnamon (Bark) Powder,Botanical
R445,Niacin USP/FCC NLT 98.0%,Vitamin
R4450,Organic Apple Fiber Powder,Botanical
R4451,"Natural Sprearmint Flavor 913.0041, Organic Compliant",Flavor
R4452,Natural Sprearmint Flavor 82032174,Flavor
R4453,"Natural Spearmint Flavor HW99, Organic Compliant",Flavor
R4454,"Natural Apple Mixed Berry #18492, fine powder",Flavor
R4455,"Natural Cinnamon Flavor 25043165, Organic Compliant",Flavor
R4456,Organic Kale Powder,Botanical
R4457,N&A Chocolate flavor 826.2116U,Flavor
R4458,"N&A Rocky Road Type Chocolate flavor, non-GMO 1201207196",Flavor
R4459,N&A Marshmallow Flavor 57011155,Flavor
R4460,Dandelion Leaf Powdered Extract 4:1 ,BotExtract
R4461,Eleutherococcus Root Extrace .8% (Customer Exclusive),BotExtract
R4462,Grape Seed Extract 95% Proanthocyanidins (Customer Exclusive),BotExtract
R4463,"Green Tea Leaves, (Customer Exclusive)",Botanical
R4464,Kale Powder (Customer Exclusive),Botanical
R4465,Korean Ginseng Root 5% Ginsenosides (Customer Exclusive),BotExtract
R4466,Licorice Root DGL 4:1<3% DGL (VS) (Customer Exclusive),BotExtract
R4467,Papaya Extract 4:1 (Customer Exclusive),BotExtract
R4468,Shitake Mushroom Powder (Customer Exclusive),Food
R4469,Sunflower Lecithin (Customer Specific),Fat/Facid
R4470,Spinach Powder (Customer Exclusive),Botanical
R4471,"Vitacel(R) Oat Fiber, Grade HF 550-30 (Customer Exclusive)",Fiber
R4472,Wheat Grass Juice Powder (Customer Exclusive),Botanical
R4473,Parsley Leaf Powder (Customer Exclusive),Botanical
R4474,Alfalfa Grass Juice (Customer Exclusive),BotExtract
R4475,Apple Fiber Powder (Customer Exclusive),Botanical
R4476,Apple Pectin Powder (Customer Exclusive),Botanical
R4477,Bilberry Ext 25% Anthocyanosides -Customer Exclusive,BotExtract
R4478,Chlorella Powder - Broken Cell Wall (Customer Exclusive),Botanical
R4479,"CH-19 Sweet Pepper, 2.3% Dihydrocapsiate (s-CAPSIATE)",BotExtract
R4480,Natural Fruit Punch Flavor 520940,Flavor
R4481,20951 Grapefruit Bioflavonoids Complex 25-S HP,Botanical
R4482,Capsicum annuum beadlets 4% Capsaicinoids,BotExtract
R4484,"Magnesium Oxide, 52.1% Mg, Non-GMO Project Verified",Mineral
R4485,Pisane(R) C9 Pea Protein Isolates 80% (Customer Exclusive),Protein
R4486,"Extended Release Caffeine Microspheres, NLT 76.2% Caffeine, (Customer Exclusive)",Nutrition
R4487,"Huperzia Serrata Extract, 1% Huperzine A, Aerial Parts",BotExtract
R4488,Thiamine Hydrochloride - Kosher (Customer Exclusive),CustOwned
R4489,Pantothenic acid 85% - Kosher (Customer Exclusive),CustOwned
R4490,Lutein 5% CWS/S-TG - Kosher (Customer Exclusive),CustOwned
R4491,Vitamin B12 1% SD - Kosher,CustOwned
R4492,Beta-Carotene 20% - Kosher (Customer Exclusive),CustOwned
R4493,d-Biotin 1% on DCP - Kosher (Customer Exclusive),Vitamin
R4494,"Vitamin D3 100,000 IU/g - Kosher",CustOwned
R4495,Lycopene 10% CWS/S-TG - Kosher,CustOwned
R4496,Niacinamide 98.5% - Kosher (Customer Exclusive),CustOwned
R4497,"Vitamin A 325,000 IU/g - Kosher",CustOwned
R4498,resVida  trans-resveratrol 99% - Kosher (Customer Exclusive),Nutrition
R4499,Hydroxypropyl Methylcellulose (Benecel  K4M),Excipient
R4500,"Poly C Preblend (consisting of Potassium Hydroxide, Calcium Ascorbate, Ascorbic Acid, Magnesium Ascorbate, Zinc Ascorbate) (Customer Exclusive) - Kosher",CustOwned
R4501,Mixed Tocopherols 30% - Kosher (Customer Exclusive),CustOwned
R4502,Opadry  Nutrapure  Certified Organic Clear Coating - Kosher (Customer Exclusive),CustOwned
R4503,Modified Starch - Kosher,CustOwned
R4504,Ascorbyl Palmitate (Customer Exclusive),CustOwned
R4505,Niacin USP 99.5% - Kosher (Customer Exclusive),CustOwned
R4506,Novatol  d-alpha tocopheryl acid succinate 1162 IU/g - Kosher (Customer Exclusive),CustOwned
R4507,Folic Acid 10% Trituration-Kosher (Customer Exclusive),CustOwned
R4508,"Pyridoxine Hydrochloride NLT 98.5%, NLT 82% Vitamin B6 - Kosher(Customer Exclusive)",CustOwned
R4509,Vitamin K1 Phytonadione 1% SD - Kosher(Customer Exclusive),CustOwned
R4510,"Passionflower Extract 4:1, Passiflora Caerulea (Customer Exclusive)",BotExtract
R4511,"Capsule, Gelatin, Sz 00, Blue Opaque/Blue Opaque (Customer Exclusive)",Capsule
R4512,"Natural Pure Vanilla Powder #21726 WH15, Organic Compliant",Flavor
R4513,Organic Spearmint Flavor 10MS803267,Flavor
R4514,"Citric Acid, Anhydrous (Customer Exclusive)",Excipient
R4515,PrePro Licap G0046571 (Customer Exclusive),Capsule
R4516,Cranberry 45% Fiber (Customer Exclusive),Botanical
R4517,Cassis Pigment Extract (Customer Exclusive),BotExtract
R4518,Comprecel  Microcrystalline Cellulose M200 - Kosher (Customer Exclusive),CustOwned
R4519,Disolcel  Croscarmellose Sodium - Kosher (Customer Exclusive),CustOwned
R4520,Choline Bitartrate Conditioned 98% - Kosher (Customer Exclusive),CustOwned
R4521,"Citrus Bioflavonoid Complex, 35% Total Bioflavonoids - Kosher (Customer Exclusive)",CustOwned
R4522,CAB-O-SIL M-5 Colloidal Silicon Dioxide - Kosher (Customer Exclusive),CustOwned
R4523,Rutin NF11 95% (Customer Exclusive),CustOwned
R4524,Quercetin Dihydrate - Kosher (Customer Exclusive),CustOwned
R4525,"Green Tea Leaf Extract, Camellia Sinensis - Kosher",CustOwned
R4526,Inositol NF12 Grade 97.5% - Kosher (Customer Exclusive),CustOwned
R4527,Coenzyme Q10 97.8% - Kosher (Customer Exclusive),CustOwned
R4528,"Mixed Carotenoids Complex (alpha-carotene, beta-carotene, gamma-carotene, lycopene) 2.8%, Vitamin A 35,000 IU/g - Kosher",CustOwned
R4529,Vitamin K2 (Menaquinone-7) 1% Trituration on Microcystalline Cellulose - Kosher,CustOwned
R4530,Riboflavin 96.5% - Kosher (Customer Exclusive),CustOwned
R4531,Alpha Lipoic Acid 99% - Kosher (Customer Exclusive),CustOwned
R4532,Vanilla Bean Extract 10X Pure Vanilla Concentrate-Kosher  (Customer Exclusive),CustOwned
R4533,Meriva  Curcumin Lecithin/SF - Kosher,CustOwned
R4534,"Olive Extract Preblend (50% Olive Fruit Extract, 50% Maltodextrin) (Customer Exclusive) - Kosher",CustOwned
R4535,"Sodium carboxymethylcellulose, non-GMO (Customer Exclusive)",Excipient
R4536,Stevia Rebaudioside A 99% (Customer Exclusive),BotExtract
R4537,XOS Prebiotic Xylooligosaccharide 95%,Excipient
R4538,Green Coffee Extract Powder 50% Chlorogenic Acids (Customer Exclusive),BotExtract
R4539,Mulberry Extract Powder(4:1) (Customer Exclusive),BotExtract
R4540,Natural Masking Agent Bitter Blocker  (Customer Exclusive),Flavor
R4541,Natural Mixed Berry (Customer Exclusive),Flavor
R4542,Natural Pineapple Flavor (Customer Exclusive),Flavor
R4543,Natural Lemon Flavor (Customer Exclusive),Flavor
R4544,Chromium Poly Nicotinate 10% (Customer Exclusive),Mineral
R4545,Creatine Monohydrate 99% (200 mesh),AminoAcid
R4546,"Alcolec H20 Sunflower Lecithin, Organic Compliant (Customer Specified)",Fat/Facid
R4547,Organic Cauliflower Sprout,Botanical
R4548,Organic Broccoli Sprout (Customer Specified),Botanical
R4549,Organic Kale Sprout (Customer Specified),Botanical
R4550,Natural Caramel Flavor PDR,Flavor
R4551,Natural Salted Caramel,Flavor
R4552,Natural Salted Caramel Flavor PDR,Flavor
R4553,"Ticaloid(Gum Acacia, Guar Gum, Xanthan Gum)",Fiber
R4554,Chrysin 99%,Nutrition
R4555,Coleus Forskohlii Root Extract 10% Forskolin HPLC,BotExtract
R4556,Chocolate Crumbs,Food
R4557,SnackFlax Protein,Protein
R4558,Natural Butterbrickle Flavor,Flavor
R4559,Natural Cookie Dough Flavor,Flavor
R4560,Natural Cookies and Cream Flavor,Flavor
R4561,Natural Pastry Flavor,Flavor
R4562,Non-Dairy Cream Concentrate,Flavor
R4563,Rauwolfia Vomitoria Root Extract (Customer Exclusive),BotExtract
R4564,"French Vanilla Flavor-Kosher, Halal, Organic Compliant (Customer Specified)",Flavor
R4565,"Organic Vanilla Creme Flavor - Kosher, Halal",Flavor
R4566,Purenergy  Caffeine Pterostilbene Cocrystal (Customer Exclusive),Nutrition
R4567,"Organic Pea Protein P80-Kosher, Halal, Organic, Non-GMO, FOOD ONLY",Protein
R4568,"Gabotein Organic Rice Protein 500OR-Kosher, Halal, Organic, Non-GMO, FOOD ONLY",Protein
R4569,"Organic Stevia (98% Reb-A) - Kosher, Halal, Non-GMO, FOOD ONLY",BotExtract
R4570,"Organic Cocoa Processed with Alkali, 95-100% Organic 100611-793-Kosher, Halal, Organic, Non0GMO, FOOD ONLY",Fiber
R4571,"Organic Chocolate Flavor - Kosher, Halal, Organic, Non-GMO",Flavor
R4572,"Organic Dark Chocolate Flavor 1090B-O PDR, Kosher, Halal, Non-GMO",Flavor
R4573,"Organic Caramel Flavor PDR - Kosher, Halal, Non-GMO",Flavor
R4574,"Natural Mouthfeel Flavor - Kosher, Halal, Organic Compliant",Flavor
R4575,"Organic Monkfruit Extract, Mogroside B 50%, Kosher, Halal, Non-GMO-FOOD ONLY",BotExtract
R4576,"Ticaloid OG2255-B Organic Gum Blend (organic gum acacia, organic guar, NGMO PV xanthan)-Kosher, Halal, Organic, Non-GMO, FOOD ONLY",Fiber
R4577,"Capsule, Gelatin, Size 00, Green Opaque/Black Opaque with Super HD Xtreme Logo (Customer Exclusive)",Capsule
R4578,Zembrin  Sceletium Tortuosum Aerial Parts Extract (Customer Exclusive),BotExtract
R4579,Natural Raspberry Flavor (Customer Specified),Flavor
R4580,Natural Watermelon Type Flavor(Customer Exclusive),Flavor
R4581,Natural Raspberry Flavor (Customer Exclusive),Flavor
R4582,Ovine Placenta Extract 20:1 (Customer Exclusive),Animal
R4583,Tribulus Fruit Extract (Customer Exclusive),BotExtract
R4584,Blackcurrant Fruit Extract 35% Anthocyanins (Customer Exclusive),BotExtract
R4585,Organic Vanilla Flavor,Flavor
R4586,"Organic Vanilla Ice Cream Flavor, 95% Organic",Flavor
R4587,Organic Amaranth Sprout,Botanical
R4588,Organic Millet Sprout,Botanical
R4589,Organic Quinoa Sprout,Botanical
R4590,Chinese Yam Root Extract (Dioscorea oppositifolia) 65% Diosgenin(Customer Exclusive),BotExtract
R4591,Organic Acerola Extract 17% Vitamin C,BotExtract
R4592,Slimpro  Blue Whiting (Micromesistius poutassou) Protein Hydrolysate (Customer Exclusive),Protein
R4593,"Evodia Rutaecarpa Fruit Extract, Evodiamine (Customer Exclusive)",BotExtract
R4594,Broccoli (Brassica Oleracea Var. Italica) Sprout Powder,Botanical
R4595,"FloraGLO  Lutein 10% VG Tabgrade, Zeaxanthin 0.6% (Customer Exclusive)",BotExtract
R4596,Dandelion Root Extract 10:1 (Customer Exclusive),BotExtract
R4597,Diatomite (Diatomaceous Earth) Min. 90% Silicon Dioxide (Customer Specified),Excipient
R4598,Strawberry Juice Concentrate Powder (Customer Specified),Botanical
R4599,Natural Berry Type Flavor (Customer Spcified),Flavor
R4600,Organic Gelatinized Maca Root (Customer Specified),Botanical
R4602,Amino Acid Blend (Customer Specified),AminoAcid
R4604,"Capsule, Gelatin, Size 00, Black/Black (Customer Exclusive)",Capsule
R4605,"Onion Extract, bulb, Allium cepa Linn., Quercetin min. 10% (Customer Specified)",BotExtract
R4606,Purified EGCG 95% (Customer Specified),BotExtract
R4607,"Maximol ORAC Blend (Grape Skin and Ext, Red Raspberry (Quercetin), Prune, Raspberry seed ext, Strawberry, Tart Cherry, Blueberry, Bilberry, Cranberry) (Customer Exclusive)  FOOD ONLY",Food
R4608,Blueberry Fruit Powder (Customer Exclusive),BotExtract
R4609,Natural Grape Blue Color (Customer Specified),Color
R461,PABA granular 98% Kosher,Nutrition
R4610,Oliggo-Fiber(R) Instant Inulin (From Chicory Root) (Customer Specified),Fiber
R4611,Shilajit Extract 8:1 (Customer Exclusive),BotExtract
R4612,Drum Dried Raspberry Powder (Customer Specified),Botanical
R4613,Alpha Lipoic Acid (Customer Exclusive),Nutrition
R4614,"Capsule, Gelatin, Size 00, Red Pearl Opaque/Red Pearl Opaque, SuperHD Fire AM Printed (Customer Exclusive)",Capsule
R4615,"Capsule, Gelatin, Size 00, Orange Pearl Opaque/Orange Pearl Opaque, Super HD Fire PM Printed (Customer Exlusive)",Capsule
R4616,Natural Caramel Flavor,Flavor
R4617,Taste Modifier,Flavor
R4619,"Manganese Chloride Tetrahydrate, 98% (Customer Specified)",Mineral
R4620,Natural Vanilla Flavor,Flavor
R4621,Citric Acid (Customer Exclusive),Excipient
R4622,Natural Vanilla Flavor 755300 (Customer Specified),Flavor
R4623,Magnesium Oxide,Mineral
R4624,VitaFiber -IMO (Powder),Fiber
R4625,Peasipro85 (Customer Exclusive),Protein
R4626,Stevia (Customer Exclusive),Excipient
R4627,Organic Dark Chocolate Cake Batter Flavor,Flavor
R4628,CurcuWIN  Curcuma longa Rhizome Extract 20% Curcuminoids,BotExtract
R4629,Melatonin 1% TriT on Mannitol,Nutrition
R4630,Aquamin TG (Lithothamnion spp.) Calcium 30% Magnesium 2.2% - Kosher (Customer Exclusive),Mineral
R4631,"Capsule, VCap, Size 00, Transparent Green/Transparent Green (Customer Exclusive)",Capsule
R4632,"Curcuma longa 95% Curcuminoids - Kosher, Non_GMO Project Verified",BotExtract
R4634,Item# 6935265 - MenaquinGold VitaminK2-7 Powder PK2 2500ppm,Vitamin
R4635,"Vitamin D2 (Ergocalciferol) from yeast 20,000 IU/g - Kosher (Customer Exclusive)",Vitamin
R4636,"Calcium Aquamin (Lithothamnion spp.) Calcium 32%, Magnesium 2.2% - Kosher (Customer Exclusive)",Mineral
R4637,Tri Star NF Saturated Fatty Acids (Stearic Acid and Palmitic Acid) - Kosher,Fat/Facid
R4638,Natural Orange Flavor 057458 AP0551,Flavor
R4639,"Organic Rice Protein Novel R1021-202 - Kosher, Halal",Protein
R464,Pancreatin 4X USP,Enzyme
R4640,"Capsule, VCap, Size 1, Clear/Clear - Kosher, Non_GMO Project Verfied (Customer Exclusive)",Capsule
R4641,"Capsule, VCap+, Size 00, Clear/Clear - Kosher, Non-GMO Project Verified (Customer Exclusive)",Capsule
R4642,"Microcrystalline Cellulose 101 - Kosher, Non-GMO Project Verified (Customer Exclusive)",Excipient
R4643,"Organic Nu-FLOW  Rice Hull Concentrate - Kosher, Non-GMO Project Verified (Customer Exclusive)",Botanical
R4644,Microcrystalline Cellulose 102 - Kosher (Customer Exclusive),Excipient
R4645,"Covico Performance 10116 Coconut Water Powder FOOD ONLY, Kosher, Halal (Customer Specified)",Nutrition
R4646,Fish Collagen Peptides - Nippi Fresh Water(Customer Specified),Animal
R4647,Natural Lime Juice Flavor 1201010204 - (Customer Specified),Flavor
R4648,"Natural Lemon Flavor FOOD ONLY, Kosher, Halal (Customer Specified)",Flavor
R4649,Organic Echinacea Angustifolia Root,Botanical
R4650,"Toothed Clubmoss, Huperzine (Huperzia serrata) A 1%",BotExtract
R4651,Organic Brown Rice Flour,Excipient
R4652,Organic Ginkgo Biloba Leaf,Botanical
R4653,Olive Leaf Extract 18% Oleuropein,BotExtract
R4654,Organic Olive (Olea Europaea) Leaf Powder,Botanical
R4655,Organic Valerian (Valeriana officinalis) Root Powder,Botanical
R4656,Organic St. John's Wort (Hypericum Perforatum),Botanical
R4657,Exberry Shade Bubbly Pink Powder (Customer Exclusive),Color
R4658,Natural Vanilla Type Flavor,Flavor
R4659,D-Calcium Panto. 85% Panto. as is (Customer Exclusive--EU Non-GMO),Vitamin
R4660,Riboflavin USP Powder NLT 96.5% (Customer Exclusive--EU Non-GMO),Vitamin
R4661,"Ascorbic Acid USP, 99%, FOOD ONLY, EU Non-GMO, Customer Exclusive",Vitamin
R4662,"d-biotin NLT 1% Granular on DCP FOOD ONLY, EU Non-GMO, Customer Exclusive",Vitamin
R4663,"Vit B6 Pwd (Pyridoxine HCl) 82%, FOOD ONLY,  EU Non-GMO Customer Exclusive",Vitamin
R4664,"Vit B12 Cyanocobal 1% Trit on DCP, FOOD ONLY, Non-GMO, Customer Exclusive",Vitamin
R4665,Folic Acid NLT 10% (Customer Exclusive-FOOD ONLY EU Non-GMO),Vitamin
R4666,"Niacinamide Descote NLT 32.6% FOOD ONLY, EU Non-GMO, Customer Exclusive",Vitamin
R4667,"IP Non-GMO d-alpha tocopheryl succinate powder 1185 IU, EU NON-GMO, Customer Exclusive",Vitamin
R4668,Calcium Caseinate - (Customer Exclusive-FOOD ONLY EU Non-GMO),Protein
R4669,"Cayenne Fruit Powder, Capsicum annuum, FOOD ONLY, EU Non-GMO, Customer Exclusive",Botanical
R4670,"VitaFiber TM/VitaSugar TM Isomalto Oligosaccharide FOOD ONLY, EU Non-GMO, Customer Exclusive",Fiber
R4671,"Xanthan Gum Merezan Type 20, 200m FOOD ONLY, EU Non-GMO, Customer Exclusive",Fiber
R4672,"L-Methionine Crystalline Powder - FOOD ONLY, EU Non-GMO, Customer Exclusive",AminoAcid
R4673,D-RIBOSE (Customer Exclusive),AminoAcid
R4674,Tartaric Acid (Customer Exclusive--EU Non-GMO),Excipient
R4675,"Invertase 10,000 Sumner/g  FOOD ONLY, EU Non-GMO, Customer Exclusive",Enzyme
R4676,"Lactase 100K ALU (FCC) units/g FOOD ONLY, EU Non-GMO, Customer Exclusive",Enzyme
R4677,"Lipase 5,000 FIP/g, 50,000 LU/g (Customer Exclusive-FOOD ONLY EU Non-GMO)",Enzyme
R4678,Zinc Oxide 99.9% (Zinc NLT 80%)-(Customer Exclusive-FOOD ONLY EU Non-GMO),Mineral
R4679,"Potassium Citrate 36% FOOD ONLY, EU Non-GMO, Customer Exclusive",Mineral
R4680,"Potass Iodide, Iodine 5% MinTriT  FOOD ONLY, EU Non-GMO, Customer Exclusive",Mineral
R4681,"Capsule, Veggie, Size 0, Clear/Clear, FOOD ONLY, EU Non-GMO, Customer Exclusive",Capsule
R4682,"Non Fat Low Heat Dry Milk 34% Protein, FOOD ONLY, EU Non-GMO, Customer Exclusive",Protein
R4683,"Magnesium Oxide NLT 52.1% Mg, FOOD ONLY, EU Non-GMO, Customer Exclusive",Mineral
R4684,"Green Tea (Camellia sinensis) Leaf 20:1 Extract 40% EGCG, FOOD ONLY, EU non-GMO, Customer Exclusive",BotExtract
R4685,AdvantaDex Tapioca Maltodextrin FOOD ONLY EU NON-GMO-Customer Exclusive,Fiber
R4686,"Natural Vanilla Custard Flavor, FOOD ONLY, EU Non-GMO Customer Exclusive",Flavor
R4687,"Natural Vanilla Flavor FOOD ONLY, EU Non-GMO, Customer Exclusive",Flavor
R4688,Conjugated Linoleic Acid (CLA) TG 60% powder CWD,Nutrition
R4689,"Cocoa Booster Flavor Pwd. Nat. FOOD ONLY, EU Non-GMO, Customer Exclusive",Flavor
R4690,"Spray Dried Honey Powder IP FOOD ONLY, EU NON-GMO, Customer Exclusive",Excipient
R4691,"Sea Salt FOOD ONLY, EU Non-GMO, Customer Exclusive",Mineral
R4692,"Citric Acid, EU Non-GMO, Customer Exclusive",Excipient
R4693,"Magnesium Stearate FOOD ONLY, EU Non-GMO, Customer Exclusive",Fiber
R4694,"Cocoa Bean (Theobroma cacao) PE 7% Theobromine, FOOD ONLY, EU Non-GMO, Customer Exclusive",BotExtract
R4695,"Natural Chocolate Flavor WONF FOOD ONLY, EU Non-GMO, Customer Exclusive",Flavor
R4696,"Natural Irish Cream Flavor, FOOD ONLY, EU Non-GMO, Customer Exclusive",Flavor
R4697,"Natural Banana Cake Type Flavor FOOD ONLY, EU Non-GMO, Customer Exclusive",Flavor
R4698,"Vitamin B-1 (Thiamine Hydrochloride) Pwd (83%)  EU Non-GMO, FOOD ONLY (Customer Exclusive)",Vitamin
R4699,Malic Acid (Barteck) - FOOD ONLY (Customer Specified),Excipient
R4700,Natural Strawberry Flavor WONF (Customer Specified),Flavor
R4701,Manganese Gluconate 11.4% Manganese (Customer Specified),Mineral
R4702,Molybdenum Chelate 2.5% Molybdenum (Customer Specified),Mineral
R4703,Potassium Iodide (Customer Specified) (74.9% Iodine),Mineral
R4704,Copper Gluconate (Customer Specified),Mineral
R4705,Crystalline Fructose (EU non-GMO),Excipient
R4706,Organic Echinacea Purpurea Root,Botanical
R4707,Organic Baobab Fruit Powder,Botanical
R4708,Purple Carrot Extract P150 464004,Color
R4709,"Natural Raspberry Flavor 79079154, Organic Compliant",Flavor
R4710,Organic Schizandra Berry Powder,Botanical
R4711,Organic Camu Camu Fruit Powder,Botanical
R4712,Organic Maqui Powder,Botanical
R4713,Organic Lucuma Fruit Powder,Botanical
R4714,Organic Amla Fruit Powde,Botanical
R4715,Organic Mangosteen Powder,Botanical
R4716,Organic Noni Fruit Powder,Botanical
R4717,Organic Plum Powder,Botanical
R4718,Organic Concord Grape Powder,Botanical
R4719,Organic Hawthorne Berries Powder,Botanical
R472,"Passion Flower Herb Powder, P. incarnata",Botanical
R4720,Organic Goji (Lycium) Berry,Botanical
R4721,Organic Pear Powder,Botanical
R4722,Organic Orange Fruit Powder,Botanical
R4723,Organic Cranberry Powder,Botanical
R4724,Organic Strawberry Powder,Botanical
R4725,"Organic Red Cherry Powder (Made with Organic, 70% organic)",Botanical
R4726,Organic Lemon Powder,Botanical
R4727,Organic Pineapple Powder,Botanical
R4728,Organic Red Raspberry Powder,Botanical
R4729,Organic Concord Grape Powder,Botanical
R4730,Organic Pomegranate Powder,Botanical
R4732,Iron Glycinate Taste Free   (Amino Acid Chelate) (Customer Specified),Mineral
R4734,L-Methylfolate Calcium (L-5-MTHF-Ca) 72.5% Methylfolate Customer Exclusive,Vitamin
R4737,Thiamine Hydrochloride 98.5% (Customer Specified),Vitamin
R4738,Biotin 97.5% (Customer Specified),Vitamin
R4741,Natural Vanilla Flavor,Flavor
R4742,Niacinamide 98.5% (Customer Specified),Vitamin
R4743,"Organic Pumpkin Seed Protein, 70% protein d.b.",Protein
R4745,Polyvinylpolypyrrolidone (PVPP),Excipient
R4746,Stevia Leaf Extract 50% Reb-A (Customer Exclusive),BotExtract
R4751,"Magnesium Oxide heavy, 96% MgO  (Customer Exclusive)",Mineral
R4753,Lalmin Zinc 10% - Kosher,Mineral
R4754,FloraGlo  Lutein 10% SG-VG (Customer Exclusive),BotExtract
R4755,Freeze Dried Mango Powder (Customer Exclusive),Botanical
R4756,Natural Berry Fruit Type Flavor,Flavor
R4757,Natural Cherry Type Flavor,Flavor
R4758,Covico Performance Coconut Water,Nutrition
R4759,"Avocado Green Color (Spirulina Ext., Turmeric Oleoresin)",Color
R476,Peppermint Leaf Powder,Botanical
R4760,Natural Lime Flavor #22425,Flavor
R4761,"d-alpha Tocopheryl Acetate, Clear, 15%, 150 IU/gram",Vitamin
R4762,"Natural Lime Juice Flavor WONF, Organic Compliant",Flavor
R4763,Gynostemma Pentaphyllum Leaf Extract (Customer Exclusive),BotExtract
R4764,Passion Flower (Passiflora incarnata) aerial parts 4:1 PE (Customer Exclusive),BotExtract
R4766,Sarsaparilla (Smilax medica) Root Powder,Botanical
R4767,"BroccoRaphanin , Broccoli Raffinate from Seed 10% Sulforaphane Glucosinolate (Glucoraphanin)",BotExtract
R4768,Organic Moringa (Moringa oleifera) Leaf Powder,Botanical
R4769,Bacopa Monnieri Leaf 20% Bacosides (Customer Exclusive),BotExtract
R477,Pepsin 1:10000,Enzyme
R4770,Organic Stevia 98%,Excipient
R4771,Juice Plus EU Omega Blend Licap (Customer Exclusive),Capsule
R4772,"Ticaloid Gum Blend, NGMO PV-",Excipient
R4773,Natural Vanilla Flavor Type MET0010205(EU Non-GMO) (Customer Exclusive),Flavor
R4774,Stearic Acid (Tristar 149) RSPO Certified - Kosher,Excipient
R4775,Organic Pea Protein Powder (Non-GMO),Protein
R4776,Vitamin E Acetate 50% (dl-alpha tocopheryl acetate) (Customer Specified),Vitamin
R4777,Pycnogenol (Maritime Pine Bark Extract),BotExtract
R4778,Citric Acid ANHYD PWD USP FCC 200 Mesh (Customer Exclusive),Excipient
R4779,Natural Lemon Flavor 862.0066U - Kosher,Flavor
R4780,"N-C Lemon Flavor,- 862.2265U - Kosher",Flavor
R4781,"Turmeric P 15 - Powder, 461015   For coloring purposes only",Color
R4782,ACTIValoe  Aloe Vera Gel SD 200X (Customer Exclusive),Botanical
R4783,"Flavorsweet OC (A Natural Flavor) - Kosher, Halal (Customer Specified)",Flavor
R4784,Opadry II Brown 85F110148 (Customer Exclusive),Coating
R4785,Magnesium Sulfate Anhydrous Food Grade,Mineral
R4793,Ginger (rhizome) Powder - Kosher,Botanical
R4794,Rose Hips Fruit Powder - Kosher,Botanical
R4795,Red Clover Top Powder - Kosher,Botanical
R4796,Peppermint Leaf Powder - Kosher,Botanical
R4797,Hawthorne Berry Powder - Kosher,Botanical
R4798,Eleutherococcus Senticosus Root Powder - Kosher,Botanical
R4799,Astragalus Root Powder - Kosher,Botanical
R480,Phosphatidyl Choline NLT 40%,Nutrition
R4800,Fenugreek Seed Powder - Kosher,Botanical
R4801,Natural Lime Flavor WONF (Non-GMO) - Kosher,Flavor
R4802,"Natural Cherry Flavor WONF (Non-GMO), Kosher",Flavor
R4803,Natural Cherry Flavor WONF (Non-GMO)-Kosher,Flavor
R4804,Lemon Balm Leaf Powder - Kosher,Botanical
R4805,Cloves Bud Powder - Kosher,Botanical
R4806,Natural Pumpkin Spice Type Flavor (Customer Specified),Flavor
R4807,Natural Mocha Flavor 878.0237U,Flavor
R4809,"L-Glutathione, Reduced",AminoAcid
R4811,"Capsule, Vcaps Plus, Size 3, Clear/Clear - Kosher (Customer Exclusive)",Capsule
R4812,D-Biotin 96.5% - Kosher (Customer Exclusive),Vitamin
R4813,Microcrystalline Cellulose 102 - Kosher (Customer Exclusive),Excipient
R4814,Lactobacillus bulgaricus 50 billion CFU/g Lb-87,Probiotic
R4815,Lactobacillus rhamnosus 200 Billion CFU/g Lr-32,Probiotic
R4816,Lactobacillus brevis Lbr-35 200B (Customer Exclusive),Probiotic
R4817,Lactobacillus salivarius Ls-33 300B,Probiotic
